# Add your holidays/off-days in the format of DATE(YYYY-MM-DD),Description
# Note that Date must be entered with MM (leading zero for 01)
# Hint, the file can be added/modified by scripts or humans :)
# DATE,DESCRIPTION
2016-01-01,New Year's Day
2016-01-04,NRJ Holiday
2016-01-11,Coming of Age Day
2016-02-11,National Foundation Day
2016-03-20,Spring Equinox Day
2016-03-21,Substitute Holiday
2016-04-29,Showa Day
2016-05-03,Constitution Memorial Day
2016-05-04,Greenery Day
2016-05-05,Children's Day
2016-07-18,Marine Day
2016-08-11,Mountain Day
2016-09-19,Respect for the Aged Day
2016-09-22,Autumn Equinox Day
2016-10-10,Sports Day
2016-11-03,Culture Day
2016-11-23,Labor Thanksgiving Day
2016-12-23,Emperor's Birthday
2016-12-25,NRJ Holiday
2016-12-29,NRJ Holidays
2016-12-30,NRJ Holidays